model_id,dim_hid,alpha,eps,normalize,weight_init,hidden_activation,output_activation,sparsity,weight_scale,patience,delta,train_CE,train_RE,val_CE,val_RE,duration
271,10,0.01,200,False,sparse,tanh,softmax,0.2,2.0,10,0,0.8571875,nan,0.863125,nan,7.809242010116577
272,10,0.01,200,False,sparse,tanh,softmax,0.2,2.0,10,0.001,0.8575,nan,0.863125,nan,7.654345989227295
273,10,0.01,200,False,sparse,relu,softmax,0.1,1.0,,,0.45265625,0.32401715349289356,0.450625,515.5532688978369,130.62286949157715
275,10,0.01,200,False,sparse,relu,softmax,0.1,1.0,10,0,0.4590625,0.32257389191846736,0.450625,487.74447406209123,7.811354160308838
276,10,0.01,200,False,sparse,relu,softmax,0.1,1.0,10,0.001,0.45296875,0.32753896494976703,0.450625,514.8151137992828,7.884807825088501
277,10,0.01,200,False,sparse,relu,softmax,0.1,2.0,,,0.45265625,0.3240865700658794,0.450625,515.4247784200303,135.31086468696594
279,10,0.01,200,False,sparse,relu,softmax,0.1,2.0,10,0,0.45640625,0.31644168829589425,0.450625,460.45381706426787,7.839150428771973
280,10,0.01,200,False,sparse,relu,softmax,0.1,2.0,10,0.001,0.45609375,0.32048247620574766,0.450625,499.7885493484991,7.823421001434326
281,10,0.01,200,False,sparse,relu,softmax,0.2,1.0,,,0.4528125,0.30899856422831107,0.450625,492.03075008512786,132.6375720500946
283,10,0.01,200,False,sparse,relu,softmax,0.2,1.0,10,0,0.43859375,0.28765333005647775,0.3575,411.0163516177031,8.979037523269653
284,10,0.01,200,False,sparse,relu,softmax,0.2,1.0,10,0.001,0.43546875,0.2906935331886929,0.33625,381.79063295578703,8.753334045410156
285,10,0.01,200,False,sparse,relu,softmax,0.2,2.0,,,0.4596875,0.2860210440543487,0.450625,457.58262417962715,134.00815057754517
287,10,0.01,200,False,sparse,relu,softmax,0.2,2.0,10,0,0.4265625,0.2850257473538934,0.366875,399.60050409865,8.543975353240967
288,10,0.01,200,False,sparse,relu,softmax,0.2,2.0,10,0.001,0.45234375,0.3300862722061435,0.450625,516.1322655718342,7.9950010776519775
